psi err 

75, ot 2, errPsi(0) 0.0482484, psiXyl -3023.89, psiXyl_old -2885.05 size 172, errRatio flux 0.0661285, outputFlux -0.0212219, outputFlux_old -0.0198185, errFlux(5) 0.0775381, sum(errFlux(7)) 5.09599
76, ot 2, errPsi(0) 0.0482484, psiXyl -3018.52, psiXyl_old -2879.99 size 172, errRatio flux 0.0602401, outputFlux -0.000710703, outputFlux_old -0.00066789, errFlux(5) 0.0775381, sum(errFlux(7)) 5.16009
77, ot 2, errPsi(0) 0.0482484, psiXyl -3038.17, psiXyl_old -2898.47 size 172, errRatio flux 0.0604491, outputFlux -0.000350159, outputFlux_old -0.000328993, errFlux(5) 0.0775381, sum(errFlux(7)) 5.22443
78, ot 2, errPsi(0) 0.0482484, psiXyl -3028.14, psiXyl_old -2889.05 size 172, errRatio flux 0.0605214, outputFlux -0.000348231, outputFlux_old -0.000327156, errFlux(5) 0.0775381, sum(errFlux(7)) 5.28885
79, ot 2, errPsi(0) 0.0482484, psiXyl -3018.26, psiXyl_old -2879.77 size 172, errRatio flux 0.0672614, outputFlux -0.0208145, outputFlux_old -0.0194145, errFlux(5) 0.0775381, sum(errFlux(7)) 5.36096
80, ot 2, errPsi(0) 0.0482484, psiXyl -3012.94, psiXyl_old -2874.74 size 172, errRatio flux 0.0604425, outputFlux -0.000350198, outputFlux_old -0.000329031, errFlux(5) 0.0775381, sum(errFlux(7)) 5.42529
81, ot 2, errPsi(0) 0.0482484, psiXyl -3028.38, psiXyl_old -2889.29 size 172, errRatio flux 0.0604917, outputFlux -0.000348402, outputFlux_old -0.000327327, errFlux(5) 0.0775381, sum(errFlux(7)) 5.48968
82, ot 2, errPsi(0) 0.0482484, psiXyl -3018.74, psiXyl_old -2880.24 size 172, errRatio flux 0.0689415, outputFlux -0.0203073, outputFlux_old -0.0189073, errFlux(5) 0.0775381, sum(errFlux(7)) 5.56373
83, ot 2, errPsi(0) 0.0482484, psiXyl -3013.46, psiXyl_old -2875.26 size 172, errRatio flux 0.0602404, outputFlux -0.000709103, outputFlux_old -0.000666387, errFlux(5) 0.0775381, sum(errFlux(7)) 5.62783
84, ot 2, errPsi(0) 0.0482484, psiXyl -3032.88, psiXyl_old -2893.47 size 172, errRatio flux 0.0605083, outputFlux -0.000349083, outputFlux_old -0.00032796, errFlux(5) 0.0775381, sum(errFlux(7)) 5.69224
85, ot 2, errPsi(0) 0.0482484, psiXyl -3023.22, psiXyl_old -2884.42 size 172, errRatio flux 0.0601913, outputFlux -0.000349407, outputFlux_old -0.000328376, errFlux(5) 0.0775381, sum(errFlux(7)) 5.75628
86, ot 2, errPsi(0) 0.0482484, psiXyl -3013.62, psiXyl_old -2875.41 size 172, errRatio flux 0.0689969, outputFlux -0.0202484, outputFlux_old -0.0188514, errFlux(5) 0.0775381, sum(errFlux(7)) 5.83039
87, ot 2, errPsi(0) 0.0482484, psiXyl -3008.35, psiXyl_old -2870.44 size 172, errRatio flux 0.0605461, outputFlux -0.000348865, outputFlux_old -0.000327742, errFlux(5) 0.0775381, sum(errFlux(7)) 5.89484
88, ot 2, errPsi(0) 0.0482484, psiXyl -3022.84, psiXyl_old -2884.04 size 172, errRatio flux 0.0606651, outputFlux -0.000346678, outputFlux_old -0.000325647, errFlux(5) 0.0775381, sum(errFlux(7)) 5.95942
89, ot 2, errPsi(0) 0.0482484, psiXyl -3012.95, psiXyl_old -2874.74 size 172, errRatio flux 0.0670547, outputFlux -0.0208349, outputFlux_old -0.0194378, errFlux(5) 0.0775381, sum(errFlux(7)) 6.0313
90, ot 2, errPsi(0) 0.0482484, psiXyl -3007.61, psiXyl_old -2869.7 size 172, errRatio flux 0.060277, outputFlux -0.00070729, outputFlux_old -0.000664657, errFlux(5) 0.0775381, sum(errFlux(7)) 6.09544
91, ot 2, errPsi(0) 0.0482484, psiXyl -3028.33, psiXyl_old -2889.17 size 172, errRatio flux 0.060595, outputFlux -0.000347963, outputFlux_old -0.000326878, errFlux(5) 0.0775381, sum(errFlux(7)) 6.15994
92, ot 2, errPsi(0) 0.0482484, psiXyl -3018.54, psiXyl_old -2879.98 size 172, errRatio flux 0.0670198, outputFlux -0.0208989, outputFlux_old -0.0194982, errFlux(5) 0.0775381, sum(errFlux(7)) 6.23178
93, ot 2, errPsi(0) 0.0482484, psiXyl -3013.27, psiXyl_old -2875 size 172, errRatio flux 0.0605157, outputFlux -0.000348419, outputFlux_old -0.000327334, errFlux(5) 0.0775381, sum(errFlux(7)) 6.29619
94, ot 2, errPsi(0) 0.0482484, psiXyl -3019.36, psiXyl_old -2880.8 size 172, errRatio flux 0.0689486, outputFlux -0.0203142, outputFlux_old -0.0189136, errFlux(5) 0.0775381, sum(errFlux(7)) 6.37025
95, ot 2, errPsi(0) 0.0482484, psiXyl -3014.69, psiXyl_old -2876.43 size 172, errRatio flux 0.0602895, outputFlux -0.000705974, outputFlux_old -0.000663411, errFlux(5) 0.0775381, sum(errFlux(7)) 6.4344
96, ot 2, errPsi(0) 0.0482484, psiXyl -3024.34, psiXyl_old -2885.39 size 172, errRatio flux 0.0607357, outputFlux -0.000346634, outputFlux_old -0.000325581, errFlux(5) 0.0775381, sum(errFlux(7)) 6.49907
97, ot 2, errPsi(0) 0.0482484, psiXyl -3015.31, psiXyl_old -2876.96 size 172, errRatio flux 0.0687003, outputFlux -0.0203569, outputFlux_old -0.0189584, errFlux(5) 0.0775381, sum(errFlux(7)) 6.57284
98, ot 2, errPsi(0) 0.0482484, psiXyl -3010.35, psiXyl_old -2872.3 size 172, errRatio flux 0.0605889, outputFlux -0.000347473, outputFlux_old -0.00032642, errFlux(5) 0.0775381, sum(errFlux(7)) 6.63733
99, ot 2, errPsi(0) 0.0482484, psiXyl -3015.28, psiXyl_old -2876.93 size 172, errRatio flux 0.0686274, outputFlux -0.0203785, outputFlux_old -0.01898, errFlux(5) 0.0775381, sum(errFlux(7)) 6.71102
100, ot 2, errPsi(0) 0.0482484, psiXyl -3010.4, psiXyl_old -2872.35 size 172, errRatio flux 0.060316, outputFlux -0.000704703, outputFlux_old -0.000662199, errFlux(5) 0.0775381, sum(errFlux(7)) 6.7752
101, ot 2, errPsi(0) 0.0482484, psiXyl -3020.88, psiXyl_old -2882.1 size 172, errRatio flux 0.0607364, outputFlux -0.00034621, outputFlux_old -0.000325182, errFlux(5) 0.0775381, sum(errFlux(7)) 6.83987
102, ot 2, errPsi(0) 0.0482484, psiXyl -3011.17, psiXyl_old -2872.98 size 172, errRatio flux 0.0674198, outputFlux -0.0207184, outputFlux_old -0.0193216, errFlux(5) 0.0775381, sum(errFlux(7)) 6.91216
103, ot 2, errPsi(0) 0.0482484, psiXyl -3005.88, psiXyl_old -2867.99 size 172, errRatio flux 0.0607189, outputFlux -0.000346309, outputFlux_old -0.000325282, errFlux(5) 0.0775381, sum(errFlux(7)) 6.97681
104, ot 2, errPsi(0) 0.0482484, psiXyl -3011.19, psiXyl_old -2873.01 size 172, errRatio flux 0.0672449, outputFlux -0.0207723, outputFlux_old -0.0193755, errFlux(5) 0.0775381, sum(errFlux(7)) 7.0489
105, ot 2, errPsi(0) 0.0482484, psiXyl -3005.85, psiXyl_old -2867.97 size 172, errRatio flux 0.0603308, outputFlux -0.000703781, outputFlux_old -0.000661321, errFlux(5) 0.0775381, sum(errFlux(7)) 7.1131
106, ot 2, errPsi(0) 0.0482484, psiXyl -3018.08, psiXyl_old -2879.43 size 172, errRatio flux 0.0673698, outputFlux -0.0208041, outputFlux_old -0.0194025, errFlux(5) 0.0775381, sum(errFlux(7)) 7.18534
107, ot 2, errPsi(0) 0.0482484, psiXyl -3012.76, psiXyl_old -2874.4 size 172, errRatio flux 0.0671811, outputFlux -0.0208625, outputFlux_old -0.019461, errFlux(5) 0.0775381, sum(errFlux(7)) 7.25736
108, ot 2, errPsi(0) 0.0482484, psiXyl -3012.68, psiXyl_old -2874.33 size 172, errRatio flux 0.0603891, outputFlux -0.00070256, outputFlux_old -0.000660133, errFlux(5) 0.0775381, sum(errFlux(7)) 7.32163
109, ot 2, errPsi(0) 0.0482484, psiXyl -3015.86, psiXyl_old -2877.3 size 172, errRatio flux 0.0678225, outputFlux -0.0206524, outputFlux_old -0.0192517, errFlux(5) 0.0775381, sum(errFlux(7)) 7.39439
110, ot 2, errPsi(0) 0.0482484, psiXyl -3010.57, psiXyl_old -2872.3 size 172, errRatio flux 0.0679209, outputFlux -0.0206224, outputFlux_old -0.0192217, errFlux(5) 0.0775381, sum(errFlux(7)) 7.46726
111, ot 2, errPsi(0) 0.0482484, psiXyl -3010.56, psiXyl_old -2872.3 size 172, errRatio flux 0.0604001, outputFlux -0.000702099, outputFlux_old -0.000659692, errFlux(5) 0.0775381, sum(errFlux(7)) 7.53154
112, ot 2, errPsi(0) 0.0482484, psiXyl -3014.23, psiXyl_old -2875.71 size 172, errRatio flux 0.0604002, outputFlux -0.000701868, outputFlux_old -0.000659475, errFlux(5) 0.0775381, sum(errFlux(7)) 7.59582
113, ot 2, errPsi(0) 0.0482484, psiXyl -3012.65, psiXyl_old -2874.18 size 172, errRatio flux 0.0603905, outputFlux -0.000701754, outputFlux_old -0.000659375, errFlux(5) 0.0775381, sum(errFlux(7)) 7.66009
114, ot 2, errPsi(0) 0.0482484, psiXyl -3011.12, psiXyl_old -2872.69 size 172, errRatio flux 0.0603586, outputFlux -0.000701901, outputFlux_old -0.000659535, errFlux(5) 0.0775381, sum(errFlux(7)) 7.72433
115, ot 2, errPsi(0) 0.0482484, psiXyl -3009.57, psiXyl_old -2871.18 size 172, errRatio flux 0.0603798, outputFlux -0.000701434, outputFlux_old -0.000659081, errFlux(5) 0.0775381, sum(errFlux(7)) 7.78859
116, ot 2, errPsi(0) 0.0482484, psiXyl -3008.07, psiXyl_old -2869.73 size 172, errRatio flux 0.0604199, outputFlux -0.000700752, outputFlux_old -0.000658413, errFlux(5) 0.0775381, sum(errFlux(7)) 7.85289
