% Model:              rhizosphere_equilibrium.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jan 27 2020, 10:14
% Dimension:          1
% Nodes:              1981
% Expressions:        15
% Description:        Abhängige Variable c
% R                       c (g/cm^3) @ t=0         c (g/cm^3) @ t=86400     c (g/cm^3) @ t=1.728E5   c (g/cm^3) @ t=2.592E5   c (g/cm^3) @ t=3.456E5   c (g/cm^3) @ t=4.32E5    c (g/cm^3) @ t=5.184E5   c (g/cm^3) @ t=6.048E5   c (g/cm^3) @ t=6.912E5   c (g/cm^3) @ t=7.776E5   c (g/cm^3) @ t=8.64E5    c (g/cm^3) @ t=9.504E5   c (g/cm^3) @ t=1.0368E6  c (g/cm^3) @ t=1.1232E6  c (g/cm^3) @ t=1.2096E6
1.4970000000000585        0.001                    9.999999999999979E-4     9.999999999999976E-4     9.999999999999979E-4     9.999999999999976E-4     9.999999999999987E-4     0.0010000000000000237    0.0010000000000003504    0.0010000000000029256    0.001000000000014367     0.0010000000000536565    0.0010000000001622628    0.0010000000004187458    0.0010000000009534411    0.0010000000019586377
1.4980000000000586        0.001                    9.999999999999979E-4     9.999999999999979E-4     9.999999999999976E-4     9.999999999999979E-4     9.999999999999985E-4     0.0010000000000000256    0.0010000000000003717    0.0010000000000030874    0.001000000000015096     0.0010000000000561743    0.0010000000001693476    0.0010000000004358176    0.0010000000009898037    0.0010000000020286939
1.4990000000000587        0.001                    9.999999999999976E-4     9.999999999999976E-4     9.999999999999976E-4     9.999999999999979E-4     9.999999999999985E-4     0.0010000000000000278    0.0010000000000003949    0.0010000000000032578    0.0010000000000158606    0.0010000000000588076    0.0010000000001767332    0.0010000000004535626    0.0010000000010275006    0.0010000000021011498
1.5000000000000588        0.001                    9.999999999999979E-4     9.999999999999979E-4     9.999999999999976E-4     9.999999999999976E-4     9.99999999999999E-4      0.0010000000000000297    0.00100000000000042      0.0010000000000034365    0.001000000000016664     0.0010000000000615615    0.00100000000018443      0.0010000000004720055    0.0010000000010665787    0.0010000000021760838
1.501000000000059         0.001                    9.999999999999979E-4     9.999999999999979E-4     9.999999999999979E-4     9.99999999999998E-4      9.999999999999987E-4     0.001000000000000032     0.001000000000000445     0.0010000000000036262    0.0010000000000175084    0.0010000000000644398    0.0010000000001924528    0.001000000000491173     0.0010000000011070843    0.0010000000022535756
1.502000000000059         0.001                    9.999999999999979E-4     9.999999999999979E-4     9.999999999999979E-4     9.999999999999976E-4     9.999999999999992E-4     0.001000000000000034     0.0010000000000004738    0.0010000000000038255    0.0010000000000183933    0.0010000000000674515    0.0010000000002008144    0.0010000000005110918    0.0010000000011490707    0.00100000000233371
1.5030000000000592        0.001                    9.999999999999974E-4     9.999999999999979E-4     9.999999999999976E-4     9.999999999999976E-4     9.999999999999992E-4     0.0010000000000000367    0.0010000000000005024    0.0010000000000040356    0.0010000000000193218    0.0010000000000705985    0.0010000000002095282    0.0010000000005317903    0.001000000001192587     0.0010000000024165722
1.5040000000000593        0.001                    9.999999999999979E-4     9.999999999999976E-4     9.999999999999976E-4     9.999999999999976E-4     9.999999999999992E-4     0.0010000000000000393    0.0010000000000005345    0.0010000000000042568    0.0010000000000202967    0.0010000000000738906    0.0010000000002186088    0.0010000000005532974    0.001000000001237688     0.0010000000025022493
1.5050000000000594        0.001                    9.999999999999974E-4     9.999999999999976E-4     9.999999999999976E-4     9.999999999999976E-4     9.999999999999994E-4     0.0010000000000000427    0.001000000000000567     0.0010000000000044904    0.0010000000000213202    0.00100000000007733      0.0010000000002280708    0.0010000000005756452    0.0010000000012844257    0.0010000000025908319
1.5060000000000595        0.001                    9.999999999999974E-4     9.999999999999979E-4     9.999999999999979E-4     9.999999999999979E-4     9.999999999999996E-4     0.0010000000000000458    0.0010000000000006022    0.001000000000004737     0.0010000000000223936    0.0010000000000809262    0.001000000000237931     0.0010000000005988628    0.0010000000013328592    0.0010000000026824149
1.5070000000000596        0.001                    9.999999999999979E-4     9.999999999999979E-4     9.999999999999979E-4     9.999999999999976E-4     9.999999999999996E-4     0.001000000000000049     0.0010000000000006397    0.0010000000000049958    0.00100000000002352      0.001000000000084687     0.0010000000002482036    0.0010000000006229837    0.0010000000013830489    0.0010000000027770935
1.5080000000000597        0.001                    9.999999999999976E-4     9.999999999999976E-4     9.999999999999979E-4     9.999999999999974E-4     9.999999999999998E-4     0.0010000000000000527    0.0010000000000006798    0.0010000000000052695    0.0010000000000247023    0.0010000000000886164    0.0010000000002589064    0.0010000000006480415    0.0010000000014350504    0.0010000000028749666
1.5090000000000598        0.001                    9.999999999999979E-4     9.999999999999979E-4     9.999999999999979E-4     9.999999999999974E-4     0.0010000000000000002    0.0010000000000000564    0.0010000000000007217    0.0010000000000055572    0.0010000000000259428    0.0010000000000927236    0.0010000000002700564    0.001000000000674072     0.00100000000148893      0.001000000002976137
1.51000000000006          0.001                    9.999999999999976E-4     9.999999999999979E-4     9.999999999999976E-4     9.999999999999974E-4     0.0010000000000000005    0.0010000000000000603    0.001000000000000766     0.0010000000000058606    0.0010000000000272439    0.0010000000000970164    0.0010000000002816716    0.0010000000007011087    0.0010000000015447513    0.0010000000030807102
1.51100000000006          0.001                    9.999999999999979E-4     9.999999999999976E-4     9.999999999999979E-4     9.999999999999974E-4     0.0010000000000000002    0.0010000000000000649    0.001000000000000813     0.0010000000000061806    0.0010000000000286086    0.0010000000001015026    0.001000000000293771     0.0010000000007291928    0.00100000000160258      0.0010000000031887932
1.5120000000000602        0.001                    9.999999999999976E-4     9.999999999999976E-4     9.999999999999979E-4     9.999999999999974E-4     0.0010000000000000007    0.0010000000000000698    0.0010000000000008622    0.0010000000000065172    0.0010000000000300407    0.0010000000001061905    0.0010000000003063734    0.0010000000007583604    0.001000000001662486     0.0010000000033004988
1.5130000000000603        0.001                    9.999999999999979E-4     9.999999999999976E-4     9.999999999999979E-4     9.999999999999976E-4     0.0010000000000000009    0.0010000000000000744    0.001000000000000916     0.0010000000000068723    0.0010000000000315423    0.0010000000001110895    0.0010000000003194997    0.001000000000788651     0.0010000000017245402    0.0010000000034159425
1.5140000000000604        0.001                    9.999999999999979E-4     9.999999999999976E-4     9.999999999999976E-4     9.999999999999974E-4     0.0010000000000000013    0.0010000000000000796    0.0010000000000009726    0.0010000000000072462    0.0010000000000331185    0.0010000000001162087    0.00100000000033317      0.0010000000008201075    0.0010000000017888152    0.0010000000035352405
1.5150000000000605        0.001                    9.999999999999976E-4     9.999999999999979E-4     9.999999999999979E-4     9.999999999999976E-4     0.001000000000000002     0.0010000000000000852    0.0010000000000010317    0.0010000000000076406    0.00100000000003477      0.0010000000001215573    0.001000000000347407     0.0010000000008527725    0.0010000000018553865    0.0010000000036585164
1.5160000000000606        0.001                    9.999999999999976E-4     9.999999999999976E-4     9.999999999999979E-4     9.999999999999979E-4     0.0010000000000000015    0.0010000000000000915    0.0010000000000010955    0.001000000000008055     0.001000000000036503     0.001000000000127145     0.001000000000362233     0.0010000000008866903    0.0010000000019243314    0.0010000000037858946
1.5170000000000607        0.001                    9.999999999999976E-4     9.999999999999979E-4     9.999999999999979E-4     9.999999999999974E-4     0.0010000000000000022    0.0010000000000000982    0.001000000000001163     0.0010000000000084917    0.0010000000000383205    0.001000000000132983     0.0010000000003776706    0.0010000000009219067    0.0010000000019957335    0.0010000000039175044
1.5180000000000609        0.001                    9.999999999999976E-4     9.999999999999976E-4     9.999999999999976E-4     9.999999999999974E-4     0.0010000000000000026    0.0010000000000001048    0.001000000000001233     0.0010000000000089525    0.0010000000000402257    0.0010000000001390817    0.0010000000003937456    0.001000000000958469     0.001000000002069673     0.0010000000040534794
1.519000000000061         0.001                    9.999999999999979E-4     9.999999999999976E-4     9.999999999999976E-4     9.999999999999976E-4     0.0010000000000000028    0.0010000000000001126    0.0010000000000013097    0.0010000000000094371    0.0010000000000422245    0.001000000000145452     0.0010000000004104816    0.0010000000009964265    0.0010000000021462366    0.0010000000041939555
1.520000000000061         0.001                    9.999999999999976E-4     9.999999999999976E-4     9.999999999999979E-4     9.999999999999974E-4     0.0010000000000000033    0.0010000000000001204    0.0010000000000013893    0.001000000000009948     0.001000000000044319     0.0010000000001521058    0.0010000000004279064    0.0010000000010358303    0.0010000000022255112    0.0010000000043390727
1.5210000000000612        0.001                    9.999999999999979E-4     9.999999999999976E-4     9.999999999999976E-4     9.999999999999974E-4     0.0010000000000000035    0.0010000000000001286    0.001000000000001474     0.0010000000000104856    0.0010000000000465168    0.0010000000001590555    0.0010000000004460456    0.0010000000010767331    0.0010000000023075901    0.0010000000044889774
1.5220000000000613        0.001                    9.999999999999976E-4     9.999999999999976E-4     9.999999999999976E-4     9.999999999999976E-4     0.0010000000000000041    0.001000000000000138     0.001000000000001564     0.0010000000000110524    0.0010000000000488197    0.001000000000166314     0.0010000000004649287    0.0010000000011191894    0.0010000000023925677    0.0010000000046438186
1.5230000000000614        0.001                    9.99999999999998E-4      9.999999999999979E-4     9.999999999999979E-4     9.999999999999974E-4     0.0010000000000000048    0.0010000000000001473    0.0010000000000016593    0.001000000000011649     0.001000000000051234     0.0010000000001738948    0.0010000000004845844    0.0010000000011632538    0.0010000000024805397    0.0010000000048037492
1.5240000000000615        0.001                    9.999999999999979E-4     9.999999999999976E-4     9.999999999999976E-4     9.999999999999976E-4     0.0010000000000000057    0.001000000000000158     0.0010000000000017605    0.0010000000000122769    0.001000000000053765     0.0010000000001818103    0.0010000000005050424    0.0010000000012089867    0.0010000000025716053    0.001000000004968926
1.5250000000000616        0.001                    9.99999999999998E-4      9.999999999999979E-4     9.999999999999976E-4     9.999999999999979E-4     0.0010000000000000059    0.0010000000000001687    0.001000000000001868     0.0010000000000129378    0.0010000000000564184    0.0010000000001900771    0.0010000000005263355    0.001000000001256448     0.0010000000026658695    0.0010000000051395123
1.5260000000000618        0.001                    9.999999999999979E-4     9.999999999999976E-4     9.999999999999976E-4     9.999999999999976E-4     0.0010000000000000065    0.0010000000000001809    0.0010000000000019809    0.001000000000013635     0.0010000000000591994    0.001000000000198707     0.001000000000548496     0.001000000001305699     0.001000000002763437     0.0010000000053156757
1.5270000000000619        0.001                    9.999999999999979E-4     9.999999999999976E-4     9.999999999999979E-4     9.999999999999976E-4     0.0010000000000000072    0.0010000000000001932    0.0010000000000021019    0.0010000000000143668    0.0010000000000621142    0.0010000000002077197    0.0010000000005715565    0.0010000000013568042    0.0010000000028644218    0.0010000000054975876
1.528000000000062         0.001                    9.999999999999979E-4     9.999999999999979E-4     9.999999999999976E-4     9.999999999999976E-4     0.0010000000000000078    0.0010000000000002065    0.001000000000002229     0.001000000000015139     0.0010000000000651686    0.0010000000002171267    0.001000000000595554     0.0010000000014098304    0.001000000002968931     0.0010000000056854242
1.529000000000062         0.001                    9.999999999999974E-4     9.999999999999979E-4     9.999999999999976E-4     9.999999999999976E-4     0.001000000000000009     0.001000000000000221     0.0010000000000023644    0.001000000000015951     0.0010000000000683705    0.0010000000002269487    0.0010000000006205236    0.001000000001464846     0.0010000000030770857    0.0010000000058793678
1.5300000000000622        0.001                    9.999999999999979E-4     9.999999999999979E-4     9.999999999999976E-4     9.999999999999979E-4     0.0010000000000000096    0.0010000000000002366    0.0010000000000025073    0.0010000000000168056    0.0010000000000717245    0.0010000000002372013    0.0010000000006465035    0.0010000000015219239    0.001000000003189004     0.0010000000060796047
